fname,pause_id,num_of_photos,real_move,max_effective_move,total_move,avg_move
16_n1733,1,13,0,0,0,0
16_n1733,2,7,8.05009530000001,8.05009530000046,8.05009530000001,1.15001361428572
16_n1733,3,21,0,0,0,0
16_n1733,4,13,0,0,0,0
16_n1733,5,18,3.68793259273394,3.68793259273344,3.68793259273394,0.204885144040774
16_n1733,6,9,32.8034599343787,34.9295855708134,52.3729192073894,5.81921324526549
16_n1733,7,12,0,0,0,0
16_n1733,8,9,0,0,0,0
16_n1733,9,14,0,0,0,0
16_n1733,10,49,0,0,0,0
16_n1733,11,14,0,0,0,0
16_n1733,12,20,0,0,0,0
16_n1733,13,7,18.4396628656853,18.4396628656855,18.4396628656853,2.63423755224075
16_n1733,14,7,16.1992696149611,16.1992696149611,16.1992696149611,2.31418137356588
16_n1733,15,7,12.0003735441011,12.0003735441006,12.0003735441011,1.71433907772872
16_n1733,16,8,0,0,0,0
16_n1733,17,36,0,0,0,0
16_n1733,18,100,17.2051860331425,17.2051860331416,17.2051860331425,0.172051860331425
16_n1733,19,19,0,0,0,0
16_n1733,20,37,10.0003113255094,10.0003113255105,10.0003113255094,0.270278684473228
16_n1734,1,18,0,0,0,0
16_n1734,2,19,0,0,0,0
16_n1734,3,11,8.80936043204703,15.8497836052516,23.0611106621508,2.09646460565007
16_n1734,4,29,0,3.814697265625E-06,0,0
16_n1734,5,17,0,0,0,0
16_n1734,6,10,20.6500979252777,20.6500979252778,20.6500979252777,2.06500979252777
16_n1734,7,10,18.0005603161515,18.000560316151,18.0005603161515,1.80005603161515
16_n1734,8,8,0,5.39479660939444E-06,0,0
16_n1734,9,46,0,0,0,0
16_n1734,10,21,0,0,0,0
16_n1734,11,10,23.7662609438882,23.7662609438882,33.9188019402048,3.39188019402048
16_n1734,12,7,0,2.69739830469722E-06,0,0
16_n1734,13,8,0,0,0,0
16_n1734,14,12,13.9144548415868,13.9144548415867,13.9144548415868,1.15953790346557
16_n1734,15,23,0,0,0,0
16_n1734,16,20,0,0,0,0
16_n1795,1,7,3.79485131248244,3.79485131248349,3.79485131248244,0.54212161606892
16_n1795,2,7,10.43104852992,10.4310485299208,10.43104852992,1.49014978998857
16_n1795,3,9,0,0,0,0
16_n1795,4,9,0,0,0,0
16_n1795,5,22,4.56084366330614,6.32475218746967,8.11366225190552,0.368802829632069
16_n1795,6,9,20.5919012349264,20.5919012349275,20.5919012349264,2.28798902610293
16_n1795,7,13,0,0,0,0
16_n1795,8,10,0,0,0,0
16_n1795,9,19,0,0,0,0
16_n1795,10,42,9.55675687978934,9.55675687979345,9.55675687978934,0.227541830471175
16_n1795,11,10,0,0,0,0
16_n1795,12,8,0,0,0,0
16_n1795,13,15,7.41625235750833,7.41625235749996,7.41625235750833,0.494416823833889
16_n1795,14,8,58.1661932061026,58.1661932061024,62.5952407732713,7.82440509665892
16_n1796,1,7,6.80412371134015,6.80412371134,6.80412371134015,0.972017673048593
16_n1796,2,15,11.79381443299,11.7938144329897,11.79381443299,0.786254295532666
16_n1796,3,18,0,0,0,0
16_n1796,4,25,0,0,0,0
16_n1796,5,39,10.0205337063138,10.0205337063135,10.0205337063138,0.256936761700354
16_n1809,1,23,16.555147505142,16.5551475051414,16.555147505142,0.719789021962696
16_n1809,2,12,29.8378835548621,29.837883554862,41.6366586044885,3.46972155037404
16_n1809,3,13,0,0,0,0
16_n1809,4,33,0,0,0,0
16_n1809,5,13,8.4525909552022,8.45259095520179,8.4525909552022,0.650199304246323
16_n1809,6,7,36.7785668451536,41.2244887531225,50.8494301107424,7.26420430153462
16_n1809,7,19,5.44999007593226,11.3332597019316,18.2465392056335,0.960344168717554
16_n1809,8,28,6.52278080077085,6.5227808007719,6.52278080077085,0.232956457170387
16_n1809,9,19,0,7.62939453125E-06,0,0
16_n1809,10,7,5.73702546748301,5.73702546748249,5.73702546748301,0.819575066783287
16_n1809,11,8,28.9497687374358,28.9497687374354,32.7476814810267,4.09346018512834
16_n1809,12,8,33.4763082789621,33.4763082789617,35.1891135355197,4.39863919193997
16_n1809,13,9,0,0,0,0
16_n1809,14,8,0,0,0,0
16_n1809,15,8,0,0,0,0
16_n1809,16,7,0,0,0,0
16_n2051,1,9,0,0,0,0
16_n2051,2,37,17.2343818652622,20.2140688498995,28.094060097633,0.75929892155765
16_n2051,3,15,0,0,0,0
16_n2051,4,7,0,0,0,0
16_n2051,5,11,13.5585295070472,13.558529507047,13.5585295070472,1.23259359154975
16_n2051,6,19,0,0,0,0
16_n2052,1,9,0,0,0,0
16_n2052,2,9,0,0,0,0
16_n2052,3,9,19.6502186695459,19.6502186695469,20.4511126968198,2.2723458552022
16_n2052,4,11,0,0,0,0
16_n2052,5,28,0,0,0,0
16_n2052,6,11,0,0,0,0
16_n2052,7,39,0,0,0,0
16_n2052,8,11,0,0,0,0
16_n2052,9,7,0,0,0,0
16_n2053,1,40,3.69419069538152,3.80129086502853,5.80474706207277,0.145118676551819
16_n2053,2,8,0,0,0,0
16_n2053,3,11,0,0,0,0
16_n2053,4,8,0,0,0,0
16_n2053,5,10,0,0,0,0
16_n2053,6,9,0,7.62939453125E-06,0,0
16_n2053,7,9,0,0,0,0
16_n2053,8,7,0,0,0,0
16_n2053,9,7,0,0,0,0
16_n2053,10,27,0,0,0,0
16_n2053,11,10,25.2308245194294,25.2308245194292,25.287712286565,2.5287712286565
16_n2053,12,22,0,0,0,0
16_n2053,13,23,8.11337922379533,8.11337922379358,9.80180744977204,0.426165541294437
